
Experiment, No. of survey robots (K1), No. of sprayer robots (K2), Maximum coverage path length, Maximum spraying path length, Coverage runtime, Weed detection runtime, Spraying runtime
1,3,5,174,10,12.983357906341553,?,4.267384052276611

Experiment, No. of survey robots (K1), No. of sprayer robots (K2), Maximum coverage path length, Maximum spraying path length, Coverage runtime, Weed detection runtime, Spraying runtime
1,3,5,174,10,13.0677969455719,?,4.080626964569092

Experiment, No. of survey robots (K1), No. of sprayer robots (K2), Maximum coverage path length, Maximum spraying path length, Coverage runtime, Weed detection runtime, Spraying runtime
1,3,5,174,12,12.72040605545044,?,4.274933099746704

Experiment, No. of survey robots (K1), No. of sprayer robots (K2), Maximum coverage path length, Maximum spraying path length, Coverage runtime, Weed detection runtime, Spraying runtime
1,3,5,174,12,13.131165981292725,?,4.233695030212402

Experiment, No. of survey robots (K1), No. of sprayer robots (K2), Maximum coverage path length, Maximum spraying path length, Coverage runtime, Weed detection runtime, Spraying runtime
1,3,5,174,14,13.413723230361938,?,4.036999225616455

Experiment, No. of survey robots (K1), No. of sprayer robots (K2), Maximum coverage path length, Maximum spraying path length, Coverage runtime, Weed detection runtime, Spraying runtime
1,3,5,174,11,12.657363891601562,?,4.017866134643555

Experiment, No. of survey robots (K1), No. of sprayer robots (K2), Maximum coverage path length, Maximum spraying path length, Coverage runtime, Weed detection runtime, Spraying runtime
1,3,5,174,12,12.839522123336792,?,4.1770548820495605

Experiment, No. of survey robots (K1), No. of sprayer robots (K2), Maximum coverage path length, Maximum spraying path length, Coverage runtime, Weed detection runtime, Spraying runtime
1,3,5,174,10,13.16473388671875,?,4.213644742965698

Experiment, No. of survey robots (K1), No. of sprayer robots (K2), Maximum coverage path length, Maximum spraying path length, Coverage runtime, Weed detection runtime, Spraying runtime
1,3,5,174,11,13.236913204193115,?,4.231604099273682

Experiment, No. of survey robots (K1), No. of sprayer robots (K2), Maximum coverage path length, Maximum spraying path length, Coverage runtime, Weed detection runtime, Spraying runtime
1,3,5,174,10,12.873255252838135,?,4.143699884414673
