               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083581,            0.022809,            0.021344,           0.0036466,             0.99194,             0.01687,           0.0058441,              0.0462,            0.014746,            0.013047,            0.070236,           0.0033071,           0.0033071
                   1,            0.081651,            0.024081,            0.021002,             0.15909,              0.0625,            0.047619,            0.012153,            0.054926,              0.1203,            0.023248,            0.039908,           0.0063117,           0.0063117
                   2,            0.073702,            0.024775,            0.020262,            0.010915,             0.11809,           0.0048828,           0.0013125,             0.04115,              0.1813,            0.018638,           0.0092488,           0.0089864,           0.0089864
                   3,            0.067932,            0.027076,             0.02098,             0.11689,             0.17166,            0.065545,            0.016606,                 nan,                 nan,            0.018173,            0.008515,            0.008515,            0.008515
                   4,            0.057089,            0.027197,            0.019666,           0.0023172,             0.64459,            0.036431,           0.0074211,            0.030396,            0.012642,            0.012326,            0.008515,            0.008515,            0.008515
                   5,              0.0557,            0.027301,             0.02023,             0.10126,            0.033122,            0.086534,            0.035142,            0.025636,            0.014099,            0.013582,             0.00802,             0.00802,             0.00802
                   6,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007525,            0.007525,            0.007525
                   7,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00703,             0.00703,             0.00703
                   8,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006535,            0.006535,            0.006535
                   9,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00604,             0.00604,             0.00604
                  10,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005545,            0.005545,            0.005545
                  11,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00505,             0.00505,             0.00505
                  12,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004555,            0.004555,            0.004555
                  13,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00406,             0.00406,             0.00406
                  14,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.003565,            0.003565,            0.003565
                  15,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00307,             0.00307,             0.00307
                  16,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.002575,            0.002575,            0.002575
                  17,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00208,             0.00208,             0.00208
                  18,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.001585,            0.001585,            0.001585
                  19,                 nan,                 nan,                 nan,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00109,             0.00109,             0.00109
